id,title,description,availability,condition,price,link,image_link,brand,video[0].url,video[1].url,video[2].url,video[3].url,video[4].url,video[5].url,video[6].url,video[7].url,video[8].url,video[9].url,video[10].url,video[11].url,video[0].tag[0]
prod_001,Classic White Sneakers,Comfortable everyday white sneakers with cushioned sole. Perfect for casual wear.,in stock,new,79.99 USD,https://abhinav14kr.github.io/meta-catalog-demo/product.html?id=prod_001,https://abhinav14kr.github.io/meta-catalog-demo/images/prod_001.jpg,Aurelia,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_drift_1x1.mp4,shoes
prod_002,Navy Blue Running Jacket,Lightweight windproof running jacket with reflective details. Ideal for morning jogs.,in stock,new,129.99 USD,https://abhinav14kr.github.io/meta-catalog-demo/product.html?id=prod_002,https://abhinav14kr.github.io/meta-catalog-demo/images/prod_002.jpg,Aurelia,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_drift_1x1.mp4,outerwear
prod_003,Organic Cotton T-Shirt - Black,Soft organic cotton crew neck t-shirt. Sustainably sourced and ethically made.,in stock,new,34.99 USD,https://abhinav14kr.github.io/meta-catalog-demo/product.html?id=prod_003,https://abhinav14kr.github.io/meta-catalog-demo/images/prod_003.jpg,Aurelia,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_drift_1x1.mp4,apparel
prod_004,Leather Crossbody Bag,Genuine leather crossbody bag with adjustable strap and multiple compartments.,in stock,new,149.99 USD,https://abhinav14kr.github.io/meta-catalog-demo/product.html?id=prod_004,https://abhinav14kr.github.io/meta-catalog-demo/images/prod_004.jpg,Aurelia,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_drift_1x1.mp4,bags
prod_005,Polarized Aviator Sunglasses,UV400 polarized aviator sunglasses with metal frame. Classic style with modern protection.,in stock,new,59.99 USD,https://abhinav14kr.github.io/meta-catalog-demo/product.html?id=prod_005,https://abhinav14kr.github.io/meta-catalog-demo/images/prod_005.jpg,Aurelia,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_drift_1x1.mp4,accessories
prod_006,Slim Fit Chino Pants - Khaki,Stretch cotton slim fit chino pants. Versatile style for work or weekend.,in stock,new,69.99 USD,https://abhinav14kr.github.io/meta-catalog-demo/product.html?id=prod_006,https://abhinav14kr.github.io/meta-catalog-demo/images/prod_006.jpg,Aurelia,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_drift_1x1.mp4,apparel
prod_007,Wireless Bluetooth Earbuds,True wireless earbuds with active noise cancellation and 24hr battery life.,in stock,new,89.99 USD,https://abhinav14kr.github.io/meta-catalog-demo/product.html?id=prod_007,https://abhinav14kr.github.io/meta-catalog-demo/images/prod_007.jpg,Aurelia,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_drift_1x1.mp4,electronics
prod_008,Stainless Steel Water Bottle,Double-walled insulated water bottle. Keeps drinks cold 24hrs or hot 12hrs. 750ml capacity.,in stock,new,29.99 USD,https://abhinav14kr.github.io/meta-catalog-demo/product.html?id=prod_008,https://abhinav14kr.github.io/meta-catalog-demo/images/prod_008.jpg,Aurelia,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_drift_1x1.mp4,accessories
prod_009,Suede Chelsea Boots,Premium suede Chelsea boots with elastic side panels and a stacked heel. Smart-casual staple.,in stock,new,139.99 USD,https://abhinav14kr.github.io/meta-catalog-demo/product.html?id=prod_009,https://abhinav14kr.github.io/meta-catalog-demo/images/prod_009.jpg,Aurelia,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_drift_1x1.mp4,shoes
prod_010,Canvas High-Top Sneakers,Retro canvas high-tops with vulcanized rubber sole and a padded ankle collar.,in stock,new,64.99 USD,https://abhinav14kr.github.io/meta-catalog-demo/product.html?id=prod_010,https://abhinav14kr.github.io/meta-catalog-demo/images/prod_010.jpg,Aurelia,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_drift_1x1.mp4,shoes
